Input,Qethnicity_coded
white,White
asian,Asian
hispanic/latinx,Hispanic or Latinx
prefer not to answer,Prefer not to answer
black/african,Black or African
indian,Indian
arab,Middle Eastern
european,White
human,Unclear
eurasian,Unclear
iranian,Middle Eastern
jewish,Middle Eastern
mediterranean,Middle Eastern
middle eastern,Middle Eastern
mixed,Multiple Ethnicities
south asian,Asian
turkish,White
anglo-american,White
arabic/berber,Middle Eastern
asian indian,Indian
berber,Middle Eastern
brazilian,Hispanic or Latinx
chinese,Asian
cocktail of all humanity. I'm originaly from a costal city,Prefer not to answer
colored people (mixed race),Multiple Ethnicities
dacian,Prefer not to answer
don't really care about ethnicity,Prefer not to answer
earth citizen,Prefer not to answer
european mix,Multiple Ethnicities
i don't believe in races and strongly dislike this question. this question is in a lot of countries considered racist. It's very sad that you have questions that are so much based on your own narrow view of society. I guess this questionnaire was made by americans...,prefer not to answer
i'm anatolian,White
indian,Indian
irish,White
it's not that i'm uncomfortable providing it you fools. i simply avoid participating as much as i can with racists like you.,Prefer not to answer
jewish,Middle Eastern
latinoamericano,Hispanic or Latinx
mestizo,Hispanic or Latinx
middle east,Middle Eastern
middle eastern,Middle Eastern
mixed,Multiple Ethnicities
mixed background,Multiple Ethnicities
mixed black and white,Multiple Ethnicities
mixed race,Multiple Ethnicities
mixed white/asian,Multiple Ethnicities
multi-ethnic,Multiple Ethnicities
multiple ethnicities,Multiple Ethnicities
native American,Native American
native European,White
north african,Black or African
northern european australian,White
nz european / māori,Pacific Islander
pacific islander,Pacific Islander
romana,White
sardinian,White
scandinavian,White
white european,White
white cyborg,White
hispánicolatino,Hispanic or Latinx
blanco,White
prefiero no responder,Prefer not to answer
amazigh,Unclear
negroafricano,Black or African
amazigh white north african,White
arabberber,Middle Eastern
arabe,Middle Eastern
arabnorth africa,Middle Eastern
armenian american,Middle Eastern
ashkenazi jewish,Middle Eastern
asianwhite,Asian
asiático,Asian
berberkabyl,Middle Eastern
brazilian white,Hispanic or Latinx
caucásica,White
celticeuropean,White
danish middle eastern,White
esta visión es muy americana apunten más alto,Unclear
jedi,Unclear
jew,Middle Eastern
mixed asian and white,Multiple Ethnicities
mixed ethnic group  whiteblack african,Multiple Ethnicities
new zealander,White
none,Unclear
northafricainarabic,Middle Eastern
persian,Middle Eastern
russian europeasian,Multiple Ethnicities
slavic,White
turco,White
white slavic,White
wookie,Unclear
hispanolatino,Hispanic or Latinx
europeo,White
tamilian,Indian
1996,Unclear
admixed,Multiple Ethnicities
american,Unclear
arab north africa,Middle Eastern
árabe,Middle Eastern
arabmiddleeastern,Middle Eastern
ashkenazi,White
azerbaijancaucasia,White
bangladeshi,Indian
berbernorth africa,Middle Eastern
british asian,White
brown paki,Indian
canadian,White
caucasian why call it white,White
cosmopolitan,Unclear
europeandutch,White
gt,Unclear
half white half black,Multiple Ethnicities
highelf,Unclear
hispaniclatina the term latinx is incomprehensible to spanish speaker without some their understanding of english,Hispanic or Latinx
honey nut cheerios,Unclear
i am an immigrant of european origin in the us,White
kashmiri,Indian
latino no es una etnia,Hispanic or Latinx
māori and pākehā,Black or African
mena,Unclear
mexicano,Hispanic or Latinx
middle eastern it is not white as gss in us says see this httpsdoiorg1010800141987020191599130,Middle Eastern
middleeastern,MiddleEastern
mixed  white and black african,Multiple Ethnicities
mixed whitelatinx,Multiple Ethnicities
new zealand european,White
norteamericano nativo,Native American
north africain,Black or African
people of stem ,Unclear
people should never be classified by race doing so will perpetuate racism stop asking for it,Unclear
prefer not to define,Prefer not to answer
reptilian,Unclear
sin raza,Unclear
sulamericano,Hispanic or Latinx
suramericano andino,Hispanic or Latinx
what is latinx is that a typo,Unclear

